project;0;1;2;3;4;5;6;7;8;9;10;11
ariakit/ariakit;375;373;644;466;735;228;474;394;446;312;914;586
aristocratos/btop;11;18;16;0;35;2;6;9;35;9;12;258
aseprite/aseprite;71;47;44;133;75;104;153;111;48;74;55;120
aspnet-contrib/AspNet.Security.OAuth.Providers;51;58;23;39;45;38;29;19;35;43;68;28
assimp/assimp;116;230;88;266;72;424;336;256;158;66;166;224
audacity/audacity;0;0;0;0;6;185;152;225;332;458;413;193
autogluon/autogluon;204;113;96;179;285;567;378;132;191;223;141;269
aws-amplify/amplify-js;50;39;49;48;45;46;50;39;42;47;45;36
aws/aws-cdk;1102;1100;775;1185;1108;1150;1116;1189;1926;1260;1101;982
babel/babel;812;514;922;772;556;618;408;283;369;459;659;769
backstage/backstage;3306;2443;2657;5951;9266;4078;4901;3336;3849;3536;4074;3846
bagisto/bagisto;505;301;113;45;120;193;84;171;240;657;574;472
bblanchon/ArduinoJson;45;10;0;53;9;4;20;7;0;21;7;3
beemdevelopment/Aegis;19;9;44;26;50;7;43;18;17;6;0;11
beetbox/beets;120;147;52;75;138;81;122;84;229;86;98;174
benbusby/whoogle-search;7;14;4;2;115;51;6;7;69;12;2;2
bigbluebutton/bigbluebutton;1076;965;1278;1504;1209;1368;1082;424;1346;1731;1342;1128
bitwarden/clients;2787;2485;2366;2800;3216;3070;2981;3147;4187;2976;2789;3585
blakeblackshear/frigate;427;280;244;228;458;320;125;140;101;430;392;373
bloomberg/memray;152;69;57;62;65;47;52;30;35;59;80;69
bluesky-social/social-app;3040;2233;938;1708;2302;1542;1548;1021;660;986;768;902
bpmn-io/bpmn-js;4;2;0;1;2;1;2;1;1;1;0;2
brefphp/bref;39;51;37;38;50;38;34;37;39;49;68;39
bridgecrewio/checkov;443;372;365;195;113;238;340;155;165;121;125;183
cabaletta/baritone;6;10;15;5;2;27;12;6;3;9;17;37
cake-build/cake;0;6;2;4;39;51;16;20;14;0;0;0
cakephp/cakephp;70;68;240;155;162;174;171;144;157;115;177;302
calcom/cal.com;161;133;65;0;0;0;0;0;0;0;0;0
camel-ai/camel;665;748;729;650;572;1002;905;901;943;1154;2625;1517
camunda/camunda;12688;12102;16653;33890;31554;25769;51223;36408;25887;37034;26177;22412
canonical/multipass;94;139;110;94;178;124;222;181;228;292;401;379
carbon-design-system/carbon;459;400;482;791;682;852;734;244;508;684;796;820
caronc/apprise;52;32;55;51;39;7;42;25;4;26;17;6
chartjs/Chart.js;19;5;14;25;3;17;12;9;9;12;0;15
checkstyle/checkstyle;508;1376;1556;1110;658;832;650;660;1080;1572;2188;2510
chocolatey/choco;30;30;30;34;30;30;30;30;30;30;30;30
chrismaltby/gb-studio;93;37;52;214;33;63;18;0;42;18;3;11
cinit/QAuxiliary;68;68;83;40;35;28;19;25;18;20;11;19
comet-ml/opik;0;0;0;102;623;898;1243;739;1057;1086;1213;1710
commaai/openpilot;1554;818;1297;1157;1143;778;710;454;707;1039;630;706
continuedev/continue;0;23;23;148;33;21;577;445;600;787;861;827
crazywhalecc/static-php-cli;52;76;16;18;50;21;20;19;32;49;143;66
crewAIInc/crewAI;43;199;189;103;128;176;228;299;296;551;502;565
cupy/cupy;128;73;87;291;162;154;109;127;168;189;147;74
cyanfish/naps2;0;9;33;51;13;0;0;8;22;0;38;6
dafny-lang/dafny;1181;457;467;628;526;804;747;797;652;504;489;477
danielmiessler/fabric;0;0;0;114;253;109;61;44;18;76;49;64
danielpalme/ReportGenerator;24;3;4;8;10;13;8;9;3;6;4;5
danny-avila/LibreChat;391;224;212;282;94;94;65;145;354;553;412;246
darkreader/darkreader;204;174;206;180;217;201;181;136;229;228;177;132
datahub-project/datahub;5443;5610;6583;7910;8481;7839;10207;10884;12001;11958;14443;12932
davidjerleke/embla-carousel;40;12;14;14;10;10;26;24;12;3;7;3
dbt-labs/dbt-core;1472;1245;1436;1412;1103;1061;1137;858;798;861;940;965
deepjavalibrary/djl;228;358;267;246;180;71;192;83;119;89;115;102
defold/defold;265;249;286;177;320;217;429;178;504;447;418;326
dependency-check/DependencyCheck;73;101;68;96;95;148;86;69;128;117;88;63
dgtlmoon/changedetection.io;216;335;124;127;220;105;110;159;102;89;301;235
diffplug/spotless;146;77;18;71;63;96;46;68;43;42;44;29
doctrine/dbal;172;129;129;168;125;205;213;179;223;214;209;145
doctrine/orm;90;105;17;45;154;101;86;23;72;74;88;81
documenso/documenso;209;159;198;183;108;198;250;177;171;125;64;104
dotnet/efcore;225;270;232;184;159;106;148;141;107;123;122;95
dotnet/macios;466;460;319;325;0;0;0;0;0;0;0;0
dotnet/roslynator;23;10;0;42;128;42;51;49;53;26;6;8
dotnetcore/BootstrapBlazor;314;281;219;380;254;306;228;385;301;334;281;276
dragonflydb/dragonfly;563;740;831;815;1051;1058;1130;964;1239;1467;1280;1398
dream-num/univer;1082;1042;934;1188;1010;1202;840;776;528;648;748;1280
drizzle-team/drizzle-orm;150;46;145;172;154;214;223;136;143;83;155;151
eclipse-che/che;10;1;6;22;6;23;10;30;14;20;14;23
